variant,age,sex,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047
migration_category,31,2,411089,417134.9960000001,414875.01099999994,418828.00499999995,411543.00100000005,407315.99799999996,416231.0039999999,410328.99500000005,409264.995,400471.99700000003,395975.997,395426.00099999993,398020.00499999995,408188.99799999996,408634.999,409125.992,416150.999,431175.004,429224.006,432747.00100000005,437658.0130000001,439000.003,430574.00700000004,423837.99299999996,422894.001,426322.01
migration_category,32,1,387673,401649.003,406701.99999999994,402007.99899999995,406953.9979999999,403533.99900000007,404894.00499999983,415228.0069999999,413901.00399999996,418522.005,412099.00299999997,408242.00000000006,412977.00599999994,423894.993,435393.0099999999,435993.999,433486,439740.9960000001,453915.00500000006,452165.00200000004,455884.999,461719.0010000001,461843,454065.999,445731.9939999999,445056.99999999994
migration_category,32,2,413311,422370.00200000004,426203.99700000003,419158.00700000004,422011.9980000001,414697.99899999995,410859.00499999995,420203.0040000001,414458.9970000001,413400.00800000003,404612.995,400125,399577.004,402170.00800000003,412336.99499999994,412786.006,413276.997,420296.99600000004,435308.001,433354.999,436878.989,441785.99500000005,443128.0080000001,434709.999,427984.99799999996,427045
migration_category,33,1,384614,398284.005,409985.998,410315.99699999986,404518,409426.998,406434.00100000005,408274.99700000003,418772,417445.99800000014,422066.002,415647.9969999999,411794.01099999994,416530.00000000006,427437.99700000003,438926.99199999997,439532.003,437028.998,443280.00000000006,457440.99799999996,455693.003,459414.0080000001,465242.99499999994,465369.99899999995,457606.9999999999,449283.9959999999
migration_category,33,2,411611,423091.99299999996,430151.00100000005,429731.992,421706.9989999999,424532.007,417581.0039999999,414151.981,423634.9980000001,417894.006,416838.00100000005,408058.997,403578.008,403032,405624.996,415788.992,416240.98400000005,416732.9909999999,423748.003,438745.997,436791.004,440314.00600000005,445217.9970000001,446560.99699999986,438151.00200000004,431435.992
migration_category,34,1,387872,394500.995,406046.99999999994,413319.006,412609.99199999997,406788.998,412093.0069999999,409552.99499999994,411558.002,422042.997,420721.998,425338.99600000004,418924.99400000006,415076.99399999995,419814.99600000004,430711.999,442191.99900000007,442800.9950000001,440303.003,446551.00399999996,460699.99799999996,458951.99400000006,462673.001,468498.99999999994,468628.99199999997,460878.00299999997
migration_category,34,2,418078,420431.0030000001,430117.00800000003,433322.999,432013.0090000001,423966.00399999996,427113.999,420532.993,417239.999,426716.99700000003,420978.002,419926.00299999997,411153.99499999994,406678.999,406136.99899999995,408729.99199999997,418892.004,419346,419839.99199999997,426849.99899999995,441835.007,439876.993,443400.99399999995,448300.99900000007,449645,441241.99200000014
migration_category,35,1,378778,396914.0009999999,401570.996,409017.00700000004,415315.999,414578.003,409138.998,414861.01,412479.99899999995,414488.00000000006,424963.99799999996,423644.995,428261.00200000004,421850.99199999997,418011.00499999995,422748.99900000007,433635.0079999999,445105.0070000001,445719.0020000001,443226.99900000007,449469.99799999985,463606.99799999996,461860.00200000004,465581.00299999997,471404.0040000001,471537.006
migration_category,35,2,409290,425869.996,426626.9970000001,432881.99899999995,435288.997,433952.00100000005,426196.999,429672.001,423216.00399999996,419929.995,429399.99600000004,423661.99499999994,422614.998,413848.00100000005,409381.014,408844.9980000001,411437.999,421595.999,422052.999,422549.0039999999,429554.99600000004,444527.003,442565,446089.996,450987.00800000003,452330.9949999999
migration_category,36,1,378159,386715.001,403033.99299999984,404001.003,410563.99899999995,416828.007,416439.00099999993,411406.006,417272.00299999997,414898.99400000006,416910.009,427375.99700000003,426059.9990000001,430675.007,424269.999,420437.003,425174.99199999997,436051.00499999995,447511.99899999995,448131.0030000001,445645.01000000007,451885,466009.007,464262.0110000001,467985.009,473805.00599999994
